yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P18846	P18846	ATF1_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36)	ATF1	Homo sapiens (Human)	271
Q9Y247	Q9Y247	FA50B_HUMAN	reviewed	Protein FAM50B (Protein XAP-5-like)	FAM50B X5L	Homo sapiens (Human)	325
Q3B820	Q3B820	F161A_HUMAN	reviewed	Protein FAM161A	FAM161A	Homo sapiens (Human)	660
Q30201	Q30201	HFE_HUMAN	reviewed	Hereditary hemochromatosis protein (HLA-H)	HFE HLAH	Homo sapiens (Human)	348
O75325	O75325	LRRN2_HUMAN	reviewed	Leucine-rich repeat neuronal protein 2 (Glioma amplified on chromosome 1 protein) (Leucine-rich repeat neuronal protein 5)	LRRN2 GAC1 LRRN5 UNQ256/PRO293	Homo sapiens (Human)	713
Q9UHT4	Q9UHT4	YG001_HUMAN	reviewed	Putative uncharacterized protein PRO1854	PRO1854	Homo sapiens (Human)	67
Q16206	Q16206	ENOX2_HUMAN	reviewed	Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	ENOX2 COVA1	Homo sapiens (Human)	610
E7ESK6	E7ESK6	E7ESK6_HUMAN	unreviewed	Syndecan	SDC2	Homo sapiens (Human)	165
Q14210	Q14210	LY6D_HUMAN	reviewed	Lymphocyte antigen 6D (Ly-6D) (E48 antigen)	LY6D E48	Homo sapiens (Human)	128
Q9BYF1	Q9BYF1	ACE2_HUMAN	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805
A0A024R2V4	A0A024R2V4	A0A024R2V4_HUMAN	unreviewed	Coiled-coil domain containing 51, isoform CRA_a	CCDC51 hCG_2039469	Homo sapiens (Human)	302
A4D0U5	A4D0U5	A4D0U5_HUMAN	unreviewed	Testin	TES hCG_39086 tcag7.1	Homo sapiens (Human)	421
O14709	O14709	ZN197_HUMAN	reviewed	Zinc finger protein 197 (Zinc finger protein with KRAB and SCAN domains 9) (ZnF20) (pVHL-associated KRAB domain-containing protein)	ZNF197 ZKSCAN9 ZNF166	Homo sapiens (Human)	1029
Q7Z4H3	Q7Z4H3	HDDC2_HUMAN	reviewed	5'-deoxynucleotidase HDDC2 (EC 3.1.3.89) (HD domain-containing protein 2) (Hepatitis C virus NS5A-transactivated protein 2) (HCV NS5A-transactivated protein 2)	HDDC2 C6orf74 NS5ATP2 CGI-130	Homo sapiens (Human)	204
Q8NF50	Q8NF50	DOCK8_HUMAN	reviewed	Dedicator of cytokinesis protein 8	DOCK8	Homo sapiens (Human)	2099
P17035	P17035	ZNF28_HUMAN	reviewed	Zinc finger protein 28 (Zinc finger protein KOX24)	ZNF28 KOX24	Homo sapiens (Human)	718
M0R2C3	M0R2C3	M0R2C3_HUMAN	unreviewed	Zinc finger protein 552 (Fragment)	ZNF552	Homo sapiens (Human)	62
P19474-1,P19474	P19474	RO52_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (RING-type E3 ubiquitin transferase TRIM21) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21)	TRIM21 RNF81 RO52 SSA1	Homo sapiens (Human)	475
Q5VT52	Q5VT52	RPRD2_HUMAN	reviewed	Regulation of nuclear pre-mRNA domain-containing protein 2	RPRD2 KIAA0460 HSPC099	Homo sapiens (Human)	1461
Q7Z3M0	Q7Z3M0	Q7Z3M0_HUMAN	unreviewed	Uncharacterized protein DKFZp686M1993 (Fragment)	DKFZp686M1993	Homo sapiens (Human)	1605
B4DX60	B4DX60	B4DX60_HUMAN	unreviewed	Cell cycle checkpoint control protein	RAD9B hCG_41292	Homo sapiens (Human)	417
O43759	O43759	SNG1_HUMAN	reviewed	Synaptogyrin-1	SYNGR1	Homo sapiens (Human)	233
Q96G75	Q96G75	RMD5B_HUMAN	reviewed	E3 ubiquitin-protein transferase RMND5B (EC 2.3.2.27) (Protein RMD5 homolog B)	RMND5B UNQ2508/PRO5996	Homo sapiens (Human)	393
Q15363	Q15363	TMED2_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 2 (Membrane protein p24A) (p24) (p24 family protein beta-1) (p24beta1)	TMED2 RNP24	Homo sapiens (Human)	201
Q15561	Q15561	TEAD4_HUMAN	reviewed	Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1)	TEAD4 RTEF1 TCF13L1 TEF3	Homo sapiens (Human)	434
P12273	P12273	PIP_HUMAN	reviewed	Prolactin-inducible protein (Gross cystic disease fluid protein 15) (GCDFP-15) (Prolactin-induced protein) (Secretory actin-binding protein) (SABP) (gp17)	PIP GCDFP15 GPIP4	Homo sapiens (Human)	146
O00327	O00327	BMAL1_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	ARNTL BHLHE5 BMAL1 MOP3 PASD3	Homo sapiens (Human)	626
P49796-4	P49796	RGS3_HUMAN	reviewed	Regulator of G-protein signaling 3 (RGP3) (RGS3)	RGS3	Homo sapiens (Human)	1198
Q15125	Q15125	EBP_HUMAN	reviewed	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	EBP	Homo sapiens (Human)	230
O43299	O43299	AP5Z1_HUMAN	reviewed	AP-5 complex subunit zeta-1 (Adaptor-related protein complex 5 zeta subunit) (Zeta5)	AP5Z1 KIAA0415 SPG48	Homo sapiens (Human)	807
A0A024RAM2	A0A024RAM2	A0A024RAM2_HUMAN	unreviewed	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX hCG_36838	Homo sapiens (Human)	106
Q6ZVK8	Q6ZVK8	NUD18_HUMAN	reviewed	8-oxo-dGDP phosphatase NUDT18 (EC 3.6.1.58) (2-hydroxy-dADP phosphatase) (7,8-dihydro-8-oxoguanine phosphatase) (MutT homolog 3) (Nucleoside diphosphate-linked moiety X motif 18) (Nudix motif 18)	NUDT18 MTH3	Homo sapiens (Human)	323
Q9BSK2	Q9BSK2	S2533_HUMAN	reviewed	Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1)	SLC25A33	Homo sapiens (Human)	321
P52756-1,P52756	P52756	RBM5_HUMAN	reviewed	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	RBM5 H37 LUCA15	Homo sapiens (Human)	815
Q7RTT9	Q7RTT9	S29A4_HUMAN	reviewed	Equilibrative nucleoside transporter 4 (hENT4) (Plasma membrane monoamine transporter) (Solute carrier family 29 member 4)	SLC29A4 ENT4 PMAT PSEC0113	Homo sapiens (Human)	530
Q9NTG7	Q9NTG7	SIR3_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)	SIRT3 SIR2L3	Homo sapiens (Human)	399
Q6UXV4	Q6UXV4	MIC27_HUMAN	reviewed	MICOS complex subunit MIC27 (Apolipoprotein O-like) (Protein FAM121A)	APOOL CXorf33 FAM121A MIC27 UNQ8193/PRO23204	Homo sapiens (Human)	268
O00754	O00754	MA2B1_HUMAN	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	MAN2B1 LAMAN MANB	Homo sapiens (Human)	1011
O00299	O00299	CLIC1_HUMAN	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)	241
P62736	P62736	ACTA_HUMAN	reviewed	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	Homo sapiens (Human)	377
P0CG40	P0CG40	SP9_HUMAN	reviewed	Transcription factor Sp9	SP9	Homo sapiens (Human)	484
Q68CZ2	Q68CZ2	TENS3_HUMAN	reviewed	Tensin-3 (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6)	TNS3 TEM6 TENS1 TPP	Homo sapiens (Human)	1445
Q15052	Q15052	ARHG6_HUMAN	reviewed	Rho guanine nucleotide exchange factor 6 (Alpha-Pix) (COOL-2) (PAK-interacting exchange factor alpha) (Rac/Cdc42 guanine nucleotide exchange factor 6)	ARHGEF6 COOL2 KIAA0006 PIXA	Homo sapiens (Human)	776
Q6JQN1	Q6JQN1	ACD10_HUMAN	reviewed	Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)	ACAD10	Homo sapiens (Human)	1059
Q9UM54,Q9UM54-6,Q9UM54-2	Q9UM54	MYO6_HUMAN	reviewed	Unconventional myosin-VI (Unconventional myosin-6)	MYO6 KIAA0389	Homo sapiens (Human)	1294
Q9BZ23	Q9BZ23	PANK2_HUMAN	reviewed	Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2) [Cleaved into: Pantothenate kinase 2, mitochondrial intermediate form (iPanK2); Pantothenate kinase 2, mitochondrial mature form (mPanK2)]	PANK2 C20orf48	Homo sapiens (Human)	570
Q9NZN5,Q9NZN5-1	Q9NZN5	ARHGC_HUMAN	reviewed	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	ARHGEF12 KIAA0382 LARG	Homo sapiens (Human)	1544
Q8WUA2	Q8WUA2	PPIL4_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)	PPIL4	Homo sapiens (Human)	492
Q08188	Q08188	TGM3_HUMAN	reviewed	Protein-glutamine gamma-glutamyltransferase E (EC 2.3.2.13) (Transglutaminase E) (TG(E)) (TGE) (TGase E) (Transglutaminase-3) (TGase-3) [Cleaved into: Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain]	TGM3	Homo sapiens (Human)	693
Q9ULM6	Q9ULM6	CNOT6_HUMAN	reviewed	CCR4-NOT transcription complex subunit 6 (EC 3.1.13.4) (CCR4 carbon catabolite repression 4-like) (Carbon catabolite repressor protein 4 homolog) (Cytoplasmic deadenylase)	CNOT6 CCR4 CCR4a KIAA1194	Homo sapiens (Human)	557
M0QXZ6	M0QXZ6	M0QXZ6_HUMAN	unreviewed	Glia maturation factor gamma (Fragment)	GMFG	Homo sapiens (Human)	59
Q9Y6X0	Q9Y6X0	SETBP_HUMAN	reviewed	SET-binding protein (SEB)	SETBP1 KIAA0437	Homo sapiens (Human)	1596
Q6Q8B3	Q6Q8B3	MO2R2_HUMAN	reviewed	Cell surface glycoprotein CD200 receptor 2 (CD200 cell surface glycoprotein receptor-like 2) (CD200 receptor-like 2) (HuCD200R2) (CD200 cell surface glycoprotein receptor-like a) (CD200RLa) (Cell surface glycoprotein CD200 receptor 1-like) (Cell surface glycoprotein OX2 receptor 2)	CD200R1L CD200R2	Homo sapiens (Human)	271
Q86SX6	Q86SX6	GLRX5_HUMAN	reviewed	Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)	GLRX5 C14orf87	Homo sapiens (Human)	157
A0A087X1H5	A0A087X1H5	A0A087X1H5_HUMAN	unreviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	ACAP2	Homo sapiens (Human)	777
B4DR61	B4DR61	B4DR61_HUMAN	unreviewed	Protein transport protein Sec61 subunit alpha isoform 1 (cDNA FLJ59739, highly similar to Protein transport protein Sec61 subunit alpha isoform 1)	SEC61A1	Homo sapiens (Human)	482
Q4LDE5	Q4LDE5	SVEP1_HUMAN	reviewed	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)	SVEP1 C9orf13 CCP22 SELOB	Homo sapiens (Human)	3571
Q96EE4	Q96EE4	CC126_HUMAN	reviewed	Coiled-coil domain-containing protein 126	CCDC126 UNQ786/PRO1605	Homo sapiens (Human)	140
O60879-2	O60879	DIAP2_HUMAN	reviewed	Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2)	DIAPH2 DIA	Homo sapiens (Human)	1101
P43652	P43652	AFAM_HUMAN	reviewed	Afamin (Alpha-albumin) (Alpha-Alb)	AFM ALB2 ALBA	Homo sapiens (Human)	599
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	reviewed	Mitochondrial carrier homolog 1 (Presenilin-associated protein)	MTCH1 PSAP CGI-64 UNQ1871/PRO4314	Homo sapiens (Human)	389
Q9Y2P4	Q9Y2P4	S27A6_HUMAN	reviewed	Long-chain fatty acid transport protein 6 (FATP-6) (Fatty acid transport protein 6) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty-acid-coenzyme A ligase, very long-chain 2) (EC 6.2.1.-) (Solute carrier family 27 member 6) (Very long-chain acyl-CoA synthetase homolog 1) (VLCSH1) (hVLCS-H1)	SLC27A6 ACSVL2 FACVL2 FATP6	Homo sapiens (Human)	619
P25311	P25311	ZA2G_HUMAN	reviewed	Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)	AZGP1 ZAG ZNGP1	Homo sapiens (Human)	298
Q2TAL8	Q2TAL8	QRIC1_HUMAN	reviewed	Transcriptional regulator QRICH1 (Glutamine-rich protein 1)	QRICH1	Homo sapiens (Human)	776
P02462-1	P02462	CO4A1_HUMAN	reviewed	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	COL4A1	Homo sapiens (Human)	1669
Q96HB5	Q96HB5	CC120_HUMAN	reviewed	Coiled-coil domain-containing protein 120	CCDC120 JM11	Homo sapiens (Human)	630
P40313	P40313	CTRL_HUMAN	reviewed	Chymotrypsin-like protease CTRL-1 (EC 3.4.21.-)	CTRL CTRL1	Homo sapiens (Human)	264
Q9HD45	Q9HD45	TM9S3_HUMAN	reviewed	Transmembrane 9 superfamily member 3 (EP70-P-iso) (SM-11044-binding protein)	TM9SF3 SMBP UNQ245/PRO282	Homo sapiens (Human)	589
O00159-1,O00159	O00159	MYO1C_HUMAN	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
Q6NUQ4	Q6NUQ4	TM214_HUMAN	reviewed	Transmembrane protein 214	TMEM214 PP446	Homo sapiens (Human)	689
P83881	P83881	RL36A_HUMAN	reviewed	60S ribosomal protein L36a (60S ribosomal protein L44) (Cell growth-inhibiting gene 15 protein) (Cell migration-inducing gene 6 protein) (Large ribosomal subunit protein eL42)	RPL36A RPL44 GIG15 MIG6	Homo sapiens (Human)	106
P18859	P18859	ATP5J_HUMAN	reviewed	ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6) (ATP synthase peripheral stalk subunit F6)	ATP5PF ATP5A ATP5J ATPM	Homo sapiens (Human)	108
Q07889	Q07889	SOS1_HUMAN	reviewed	Son of sevenless homolog 1 (SOS-1)	SOS1	Homo sapiens (Human)	1333
P14868	P14868	SYDC_HUMAN	reviewed	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Cell proliferation-inducing gene 40 protein)	DARS1 DARS PIG40	Homo sapiens (Human)	501
Q8WUM9	Q8WUM9	S20A1_HUMAN	reviewed	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)	SLC20A1 GLVR1 PIT1	Homo sapiens (Human)	679
Q9NWZ8	Q9NWZ8	GEMI8_HUMAN	reviewed	Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)	GEMIN8 FAM51A1	Homo sapiens (Human)	242
Q14005	Q14005	IL16_HUMAN	reviewed	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	IL16	Homo sapiens (Human)	1332
Q7Z6K1	Q7Z6K1	THAP5_HUMAN	reviewed	THAP domain-containing protein 5	THAP5	Homo sapiens (Human)	395
P27635	P27635	RL10_HUMAN	reviewed	60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10 DXS648E QM	Homo sapiens (Human)	214
G3V185	G3V185	G3V185_HUMAN	unreviewed	Transmembrane protein 179B	TMEM179B LOC374395 hCG_2016619	Homo sapiens (Human)	144
P56537	P56537	IF6_HUMAN	reviewed	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6 EIF3A ITGB4BP OK/SW-cl.27	Homo sapiens (Human)	245
Q9UPN4	Q9UPN4	CP131_HUMAN	reviewed	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)	CEP131 AZI1 KIAA1118	Homo sapiens (Human)	1083
Q53H96	Q53H96	P5CR3_HUMAN	reviewed	Pyrroline-5-carboxylate reductase 3 (P5C reductase 3) (P5CR 3) (EC 1.5.1.2) (Pyrroline-5-carboxylate reductase-like protein)	PYCR3 PYCRL	Homo sapiens (Human)	274
P57053	P57053	H2BFS_HUMAN	reviewed	Histone H2B type F-S (H2B-clustered histone 12 like) (H2B.S histone 1) (Histone H2B.s) (H2B/s)	H2BC12L H2BFS H2BS1	Homo sapiens (Human)	126
H7C0F8	H7C0F8	H7C0F8_HUMAN	unreviewed	Hepatocyte growth factor-like protein (Fragment)	MST1	Homo sapiens (Human)	195
Q9HCS4	Q9HCS4	TF7L1_HUMAN	reviewed	Transcription factor 7-like 1 (HMG box transcription factor 3) (TCF-3)	TCF7L1 TCF3	Homo sapiens (Human)	588
Q5UIP0	Q5UIP0	RIF1_HUMAN	reviewed	Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)	RIF1	Homo sapiens (Human)	2472
Q9Y5Z9	Q9Y5Z9	UBIA1_HUMAN	reviewed	UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (Transitional epithelial response protein 1)	UBIAD1 TERE1	Homo sapiens (Human)	338
P78357	P78357	CNTP1_HUMAN	reviewed	Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)	CNTNAP1 CASPR NRXN4	Homo sapiens (Human)	1384
Q9BYD2	Q9BYD2	RM09_HUMAN	reviewed	39S ribosomal protein L9, mitochondrial (L9mt) (MRP-L9) (Mitochondrial large ribosomal subunit protein bL9m)	MRPL9	Homo sapiens (Human)	267
P11166	P11166	GTR1_HUMAN	reviewed	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	SLC2A1 GLUT1	Homo sapiens (Human)	492
P27448	P27448	MARK3_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	MARK3 CTAK1 EMK2	Homo sapiens (Human)	753
Q32P28	Q32P28	P3H1_HUMAN	reviewed	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	P3H1 GROS1 LEPRE1 PSEC0109	Homo sapiens (Human)	736
P22681	P22681	CBL_HUMAN	reviewed	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL)	CBL CBL2 RNF55	Homo sapiens (Human)	906
A0A087WV45	A0A087WV45	A0A087WV45_HUMAN	unreviewed	Transthyretin (Fragment)	TTR	Homo sapiens (Human)	23
O00124	O00124	UBXN8_HUMAN	reviewed	UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)	UBXN8 D8S2298E REP8 UBXD6	Homo sapiens (Human)	270
Q9BSJ8	Q9BSJ8	ESYT1_HUMAN	reviewed	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	ESYT1 FAM62A KIAA0747 MBC2	Homo sapiens (Human)	1104
Q05655	Q05655	KPCD_HUMAN	reviewed	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	Homo sapiens (Human)	676
Q6SJ93	Q6SJ93	F111B_HUMAN	reviewed	Serine protease FAM111B (EC 3.4.21.-) (Cancer-associated nucleoprotein)	FAM111B CANP	Homo sapiens (Human)	734
Q8NDB6	Q8NDB6	FA156_HUMAN	reviewed	Protein FAM156A/FAM156B (Transmembrane protein 29/29B)	FAM156A TMEM29 PP12994 PRO0659; FAM156B TMEM29B	Homo sapiens (Human)	213
Q9UQ35-1,Q9UQ35	Q9UQ35	SRRM2_HUMAN	reviewed	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	SRRM2 KIAA0324 SRL300 SRM300 HSPC075	Homo sapiens (Human)	2752
Q13459	Q13459	MYO9B_HUMAN	reviewed	Unconventional myosin-IXb (Unconventional myosin-9b)	MYO9B MYR5	Homo sapiens (Human)	2157
O75528	O75528	TADA3_HUMAN	reviewed	Transcriptional adapter 3 (ADA3 homolog) (hADA3) (STAF54) (Transcriptional adapter 3-like) (ADA3-like protein)	TADA3 ADA3 TADA3L	Homo sapiens (Human)	432
O75688	O75688	PPM1B_HUMAN	reviewed	Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta)	PPM1B PP2CB	Homo sapiens (Human)	479
B2R4W8	B2R4W8	B2R4W8_HUMAN	unreviewed	40S ribosomal protein S15a	hCG_1994130	Homo sapiens (Human)	130
Q16880	Q16880	CGT_HUMAN	reviewed	2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.47) (Ceramide UDP-galactosyltransferase) (Cerebroside synthase) (UDP-galactose-ceramide galactosyltransferase)	UGT8 CGT UGT4	Homo sapiens (Human)	541
Q9P219	Q9P219	DAPLE_HUMAN	reviewed	Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2)	CCDC88C DAPLE KIAA1509	Homo sapiens (Human)	2028
Q9BQF6	Q9BQF6	SENP7_HUMAN	reviewed	Sentrin-specific protease 7 (EC 3.4.22.-) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7)	SENP7 KIAA1707 SSP2 SUSP2	Homo sapiens (Human)	1050
Q65ZC9	Q65ZC9	Q65ZC9_HUMAN	unreviewed	Single-chain Fv (Fragment)	scFv	Homo sapiens (Human)	240
Q969V5	Q969V5	MUL1_HUMAN	reviewed	Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 2.3.2.27) (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (Protein Hades) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218) (RING-type E3 ubiquitin transferase NFKB 1)	MUL1 C1orf166 GIDE MAPL MULAN RNF218	Homo sapiens (Human)	352
Q92504	Q92504	S39A7_HUMAN	reviewed	Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)	SLC39A7 HKE4 RING5	Homo sapiens (Human)	469
P22455	P22455	FGFR4_HUMAN	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802
P43378	P43378	PTN9_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 9 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG2) (PTPase MEG2)	PTPN9	Homo sapiens (Human)	593
Q9Y6M5	Q9Y6M5	ZNT1_HUMAN	reviewed	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1)	SLC30A1 ZNT1	Homo sapiens (Human)	507
A0A024R5Z7	A0A024R5Z7	A0A024R5Z7_HUMAN	unreviewed	Annexin	ANXA2 hCG_2004404	Homo sapiens (Human)	339
P50750	P50750	CDK9_HUMAN	reviewed	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	CDK9 CDC2L4 TAK	Homo sapiens (Human)	372
Q9UNM6	Q9UNM6	PSD13_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	PSMD13	Homo sapiens (Human)	376
Q15390	Q15390	MTFR1_HUMAN	reviewed	Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region)	MTFR1 CHPPR FAM54A2 KIAA0009	Homo sapiens (Human)	333
P17693	P17693	HLAG_HUMAN	reviewed	HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338
